,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999","Income_$10,000_14,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Income_$100,000_149,999",Some_other_race_alone_percent,"Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more"
1798,38963.0,20.8,3.1,2.9,11.5,3.1,0.100238663484,9.5,4.8
1799,63795.0,4.7,13.3,5.5,2.1,13.3,0.0951592122216,18.3,6.4
1800,72143.0,21.6,12.1,1.6,13.6,12.1,0.0898030127462,16.9,20.7
1801,41557.0,13.4,7.1,6.5,3.6,7.1,0.120849933599,9.2,4.8
1802,51962.0,10.2,9.3,2.3,0.0,9.3,0.155440414508,8.6,6.3
1803,40292.0,0.0,3.6,0.0,0.0,3.6,0.0761478163494,2.6,2.6
1804,61429.0,0.0,14.0,3.1,0.0,14.0,0.0610599078341,11.6,6.2
1805,77609.0,1.0,19.0,2.4,0.0,19.0,0.0278276481149,15.6,21.0
1806,37438.0,16.0,18.2,6.8,4.6,18.2,0.110102489019,12.0,2.6
1807,42163.0,18.4,14.6,4.8,12.7,14.6,0.0,6.7,7.3
1808,30046.0,25.5,2.8,4.8,12.2,2.8,0.126732312181,3.9,10.5
1809,77438.0,3.2,14.9,0.9,1.5,14.9,0.0427143289912,21.1,16.8
1810,64559.0,7.0,17.6,6.5,2.8,17.6,0.0372979693328,9.5,17.2
1811,57438.0,6.9,11.2,1.0,0.0,11.2,0.0520833333333,21.6,7.1
1812,32372.0,15.8,10.4,8.7,7.6,10.4,0.122535312254,8.9,4.1
1813,65328.0,3.3,17.2,4.1,2.3,17.2,0.0458118731364,16.3,11.3
1814,60357.0,9.5,9.4,2.3,5.6,9.4,0.0527041942605,13.1,16.9
1815,66458.0,9.0,13.9,1.3,4.8,13.9,0.0,12.4,21.0
1816,44913.0,21.3,13.2,6.0,13.6,13.2,0.033371040724,9.1,8.6
