,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
11042,1400000US36047041600,44260.0,12.8,7.6,7.8,4.0,16.6,7.2,0.811270801815,13.9,16.6,0.102118003026,0.244841815681
11043,1400000US36047041700,22022.0,22.7,13.6,0.0,0.0,3.1,17.5,0.424952501583,14.7,3.1,0.123812539582,0.512156862745
11044,1400000US36047041800,33056.0,17.4,14.8,5.7,1.3,8.4,8.2,0.888936905791,17.5,8.4,0.0328435609334,0.284759358289
11045,1400000US36047041900,35877.0,16.8,11.7,2.8,2.1,5.9,7.7,0.530024813896,14.7,5.9,0.134739454094,0.414634146341
11046,1400000US36047042000,42969.0,8.7,6.7,9.2,2.5,10.6,8.3,0.869060190074,7.1,10.6,0.0427666314678,0.21387283237
11047,1400000US36047042100,34362.0,16.2,12.1,2.1,0.0,9.9,3.1,0.524153386454,13.6,9.9,0.0717131474104,0.372503840246
11048,1400000US36047042200,68382.0,5.7,0.6,12.3,4.3,17.5,3.9,0.82469775475,0.9,17.5,0.0284974093264,0.095547309833
11049,1400000US36047042300,51083.0,10.3,6.0,7.3,6.6,10.4,5.4,0.595467308464,6.6,10.4,0.161050942639,0.373384030418
11050,1400000US36047042400,46570.0,7.0,2.7,10.5,7.6,13.0,3.4,0.670745920746,3.6,13.0,0.0597319347319,0.137658227848
11051,1400000US36047042500,45642.0,16.5,5.6,7.1,5.9,13.6,5.0,0.416035788025,5.1,13.6,0.423262216105,0.29912875121
11052,1400000US36047042600,47788.0,11.1,6.5,5.0,0.5,15.5,6.0,0.477540834846,8.0,15.5,0.0664700544465,0.294636795655
11053,1400000US36047042700,47055.0,8.3,3.7,5.4,3.3,10.5,4.3,0.506863968622,3.9,10.5,0.308611160635,0.353146853147
11054,1400000US36047042800,52188.0,15.4,8.9,8.5,5.2,15.0,5.8,0.696542553191,13.5,15.0,0.0202127659574,0.284044016506
11055,1400000US36047042900,45382.0,10.1,7.9,5.2,4.1,9.0,6.0,0.573393696674,8.1,9.0,0.199547274943,0.337677053824
11056,1400000US36047043000,34729.0,11.8,9.3,2.5,1.8,5.5,8.9,0.551266941662,10.9,5.5,0.0159104301709,0.410894941634
11057,1400000US36047043100,42269.0,16.9,8.8,4.6,2.9,10.6,3.4,0.483819628647,9.6,10.6,0.263837312113,0.385944700461
11058,1400000US36047043200,48574.0,10.9,8.5,7.0,4.7,10.1,4.8,0.586012526096,10.0,10.1,0.0244258872651,0.262727844123
11059,1400000US36047043300,37882.0,12.7,8.5,2.3,0.0,4.9,8.4,0.455770484677,9.2,4.9,0.143881764834,0.46334519573
11060,1400000US36047043400,47054.0,9.0,5.2,7.6,3.9,8.6,9.6,0.699228028504,8.1,8.6,0.0,0.261784511785
11061,1400000US36047043500,41058.0,10.0,4.2,6.1,1.6,11.8,6.4,0.432117920869,4.2,11.8,0.163110938712,0.352122477383
11062,1400000US36047043600,60227.0,10.3,7.0,8.7,5.6,9.1,10.3,0.635911258553,10.6,9.1,0.0470661414058,0.228624535316
11063,1400000US36047043700,42500.0,10.4,6.3,3.9,2.0,10.9,8.3,0.452793204835,7.4,10.9,0.159915060438,0.350292397661
11064,1400000US36047043800,40227.0,11.8,7.2,6.5,4.2,9.7,7.9,0.70858662614,9.4,9.7,0.15273556231,0.310492505353
11065,1400000US36047043900,40455.0,12.9,2.6,8.1,2.7,9.3,6.0,0.534777376655,3.2,9.3,0.143441636582,0.361669242658
11066,1400000US36047044000,47727.0,12.0,8.0,11.2,7.6,10.8,9.4,0.88379204893,11.5,10.8,0.0479102956167,0.269650655022
11067,1400000US36047044100,49167.0,12.1,4.7,7.7,5.5,9.9,8.5,0.470597790773,5.2,9.9,0.230831708902,0.311218985976
11068,1400000US36047044200,57366.0,11.4,4.1,21.0,5.3,13.1,3.9,0.887714181553,3.8,13.1,0.00802041560335,0.156431054461
11069,1400000US36047044300,56657.0,14.6,7.6,6.2,6.2,18.3,5.0,0.569542580885,8.0,18.3,0.175715879509,0.27599346761
11070,1400000US36047044400,44896.0,14.1,7.5,11.4,4.3,8.1,2.1,0.868583162218,12.7,8.1,0.0607216192432,0.184233076264
11071,1400000US36047044500,42894.0,11.6,4.4,5.5,4.4,11.2,6.4,0.489018738666,5.3,11.2,0.247833971388,0.299193047796
11072,1400000US36047044600,47031.0,4.8,2.3,14.2,9.1,15.2,9.1,0.586343394359,3.2,15.2,0.0875804057397,0.170767004342
11073,1400000US36047044700,50114.0,14.1,3.7,9.8,1.1,19.4,0.0,0.496774193548,4.1,19.4,0.175,0.189155107188
11074,1400000US36047044800,52083.0,9.8,8.5,14.4,5.8,14.7,3.9,0.748440748441,14.8,14.7,0.114345114345,0.141509433962
11075,1400000US36047044900,33831.0,14.6,8.2,1.3,1.3,10.0,6.6,0.293217893218,9.2,10.0,0.195670995671,0.443455031167
11076,1400000US36047045000,29659.0,25.2,25.2,27.5,19.8,6.1,2.3,0.991967871486,59.2,6.1,0.00803212851406,0.267175572519
11077,1400000US36047045200,67431.0,8.7,5.3,17.2,6.2,15.0,2.9,0.941243366187,7.4,15.0,0.0284306292646,0.0687285223368
11078,1400000US36047045300,55536.0,8.7,6.2,14.2,10.7,14.5,5.5,0.468169761273,6.2,14.5,0.243147656941,0.181674565561
11079,1400000US36047045400,47188.0,8.2,6.4,12.3,6.3,14.0,2.8,0.762658227848,10.5,14.0,0.0854430379747,0.110197368421
11080,1400000US36047045600,35385.0,10.6,7.4,11.0,2.8,8.0,12.8,0.787665886027,9.0,8.0,0.0202966432475,0.35960591133
11081,1400000US36047045800,60250.0,4.7,2.6,21.9,9.8,12.0,1.1,0.972743791641,0.0,12.0,0.0,0.0710382513661
11082,1400000US36047046000,45938.0,7.8,7.8,8.1,3.2,9.8,16.1,0.489821251241,10.1,9.8,0.0109235352532,0.240963855422
11083,1400000US36047046201,36765.0,18.3,17.5,7.9,6.9,6.2,14.3,0.725139664804,23.2,6.2,0.0648044692737,0.27358490566
11084,1400000US36047046202,56818.0,7.8,1.8,14.3,4.5,15.1,3.7,0.852578731173,0.0,15.1,0.138749429484,0.154485049834
11085,1400000US36047046400,43889.0,8.5,5.8,7.5,5.8,12.7,5.9,0.905166051661,11.4,12.7,0.00885608856089,0.228658536585
11086,1400000US36047046800,34063.0,9.5,0.0,7.0,4.0,10.3,11.4,0.972484952709,0.0,10.3,0.000859845227859,0.310476190476
11087,1400000US36047047000,46696.0,8.4,7.6,10.7,5.1,7.5,7.6,0.947255880257,12.8,7.5,0.0135424091233,0.189873417722
11088,1400000US36047047200,51159.0,4.4,1.9,13.0,6.7,12.3,3.7,0.989764585466,2.4,12.3,0.0,0.210382513661
11089,1400000US36047047400,52125.0,2.2,2.2,11.7,1.7,16.8,4.0,0.975418231478,3.5,16.8,0.0,0.307371349096
11090,1400000US36047047600,45588.0,4.0,4.0,7.4,4.9,13.7,9.4,0.902223345124,6.8,13.7,0.0674583122789,0.255605381166
11091,1400000US36047047700,86932.0,1.4,0.3,23.7,12.6,21.7,7.2,0.804255319149,0.5,21.7,0.0401595744681,0.0551090700344
11092,1400000US36047047800,31708.0,9.7,6.0,8.9,8.0,7.5,9.1,0.747222222222,7.8,7.5,0.172453703704,0.326820603908
11093,1400000US36047048000,30968.0,16.8,12.6,5.3,4.6,11.8,8.0,0.699144355506,13.2,11.8,0.194314104333,0.476653696498
11094,1400000US36047048100,72717.0,10.3,5.7,9.2,3.8,21.3,5.4,0.763260025873,5.8,21.3,0.0695342820181,0.147058823529
11095,1400000US36047048200,31992.0,15.2,9.4,4.2,3.8,5.1,5.7,0.560654008439,10.8,5.1,0.0525668073136,0.313568376068
11096,1400000US36047048400,40724.0,10.0,8.2,8.0,5.2,7.7,4.3,0.826731078905,9.3,7.7,0.0442834138486,0.302510716473
11097,1400000US36047048500,85924.0,3.0,1.8,18.9,11.6,21.7,1.8,0.582069874753,1.3,21.7,0.234014502307,0.055036344756
11098,1400000US36047048600,44489.0,8.7,6.7,7.4,6.4,10.5,3.2,0.359165424739,6.3,10.5,0.230402384501,0.166120218579
11099,1400000US36047048800,52000.0,2.2,2.2,9.5,6.1,16.9,5.5,0.52663468821,3.3,16.9,0.134057056299,0.156976744186
11100,1400000US36047048900,19518.0,26.9,12.6,0.0,0.0,2.2,10.8,0.290937581614,12.7,2.2,0.26612692609,0.586366644606
11101,1400000US36047049000,35642.0,6.8,3.7,5.6,3.6,8.3,8.8,0.64587394412,4.8,8.3,0.0462962962963,0.197295943916
11102,1400000US36047049100,32813.0,7.9,5.3,4.6,3.6,5.7,11.1,0.287020109689,6.0,5.7,0.100216054512,0.270546598506
11103,1400000US36047049200,46146.0,10.4,6.9,4.7,1.5,6.0,7.6,0.478416277151,11.0,6.0,0.11575474292,0.224199288256
11104,1400000US36047049300,30613.0,23.8,17.8,3.5,1.0,6.7,9.1,0.485942146526,18.5,6.7,0.235198702352,0.393412057178
11105,1400000US36047049400,47397.0,12.6,8.7,8.2,4.4,12.4,8.9,0.558844635809,12.2,12.4,0.0767850735558,0.229033840118
11106,1400000US36047049500,73913.0,6.3,3.6,19.4,10.1,20.5,4.4,0.80903034789,4.6,20.5,0.0325684678016,0.0813586097946
11107,1400000US36047049600,57477.0,10.0,8.4,10.9,6.3,10.1,4.6,0.40630561912,12.3,10.1,0.214340198322,0.174799708667
11108,1400000US36047049700,79934.0,3.3,1.6,19.5,8.8,21.4,6.8,0.780979827089,2.0,21.4,0.0255763688761,0.0619469026549
11109,1400000US36047049800,67907.0,7.5,5.0,10.8,6.1,13.1,4.7,0.447188533627,7.5,13.1,0.0791620727674,0.124253285544
11110,1400000US36047049900,70031.0,5.2,1.1,13.9,4.9,15.6,5.2,0.831597222222,1.6,15.6,0.0908564814815,0.0480192076831
11111,1400000US36047050000,78313.0,9.5,3.9,16.3,6.7,21.6,4.2,0.665038002172,7.2,21.6,0.0198154180239,0.0905321354527
11112,1400000US36047050100,73919.0,2.6,1.9,15.8,7.5,18.1,6.3,0.750168804862,2.5,18.1,0.106347062795,0.0695839311334
11113,1400000US36047050202,73081.0,5.6,4.1,26.1,5.2,9.7,1.8,0.902286902287,8.0,9.7,0.0216216216216,0.0515370705244
11114,1400000US36047050300,69712.0,4.7,4.1,11.2,7.0,20.8,7.6,0.890580008227,4.7,20.8,0.076100370218,0.131513647643
11115,1400000US36047050400,86771.0,5.1,2.6,14.7,7.4,26.4,3.4,0.562396351575,4.2,26.4,0.134535655058,0.0819590204898
11116,1400000US36047050500,30216.0,16.7,9.5,2.2,1.6,10.2,8.7,0.458148752623,10.8,10.2,0.174632781534,0.255861365953
11117,1400000US36047050600,48583.0,11.0,7.3,4.9,4.5,14.2,3.0,0.23031358885,7.6,14.2,0.210278745645,0.245015739769
11118,1400000US36047050700,30625.0,7.9,1.4,0.4,0.0,10.1,13.1,0.768721555647,1.7,10.1,0.106330161357,0.504032258065
11119,1400000US36047050801,40417.0,6.4,2.8,4.5,4.5,8.6,11.6,0.118287740628,2.8,8.6,0.116514690983,0.385790679908
11120,1400000US36047050803,38807.0,9.7,5.3,2.3,1.0,3.8,1.8,0.23448602558,5.4,3.8,0.133585978209,0.148401826484
11121,1400000US36047050804,50440.0,6.6,2.2,2.0,0.5,10.6,6.8,0.191110342442,2.4,10.6,0.212383258388,0.249207606973
