cartodb_id,the_geom,store_name,longitude,latitude,address,address_line__2,city,state,zip5,zip4,county,count_vals,count_vals_density
8073,0101000020E61000005534D6FECE8852C090BDDEFDF1504440,5 De Mayo Deli,-74.137634,40.632385,392 Port Richmond Ave,,Staten Island,NY,10302,1711,RICHMOND ,1,384615.384615385
8074,0101000020E61000009432A9A10D7C52C0F1B73D4162654440,Blue Sky Deli & Grocery,-73.938332,40.792061,2135 1st Ave,,New York,NY,10029,3307,NEW YORK ,1,384615.384615385
8075,0101000020E61000007C45B75ED36F52C0895DDBDB2D554440,South Conduit Deli & Grocery,-73.747276,40.665462,23002 S Conduit Ave,,Springfield Gardens,NY,11413,3646,QUEENS ,1,384615.384615385
8077,0101000020E610000039622D3E057A52C00D8D278238594440,Tina Poultry Corporation,-73.90657,40.697037,905 Wyckoff Ave,,Ridgewood,NY,11385,5353,QUEENS ,1,384615.384615385
8078,0101000020E61000004E0AF31E677452C03A596ABDDF4A4440,Queens Candy Smoke Shop Inc,-73.818794,40.584953,9710 Rockaway Beach blvd,,Rockaway beach,NY,11693,,QUEENS ,1,384615.384615385
8079,0101000020E6100000EA7B0DC1717952C02A560DC2DC584440,"Cypress Express Deli, Inc",-73.897568,40.694237,7924 Cypress Ave,,Glendale,NY,11385,6039,QUEENS ,1,384615.384615385
8080,0101000020E6100000252367614F7B52C0D52137C30D5A4440,Amauri Grocery,-73.92672,40.703545,198 Knickerbocker Ave,,Brooklyn,NY,11237,2204,KINGS ,1,384615.384615385
8081,0101000020E6100000AE9B525E2B7B52C0C843DFDDCA624440,Astoria Fine Gourmet Deli,-73.924522,40.771816,2217 Astoria Blvd,,Astoria,NY,11102,,QUEENS ,1,384615.384615385
8082,0101000020E61000006F2D93E1788652C07C4276DEC6504440,Forest Superette Inc,-74.101128,40.631069,350 Forest Ave,,Staten Island,NY,10301,2643,RICHMOND ,1,384615.384615385
8083,0101000020E61000001096B1A19B7852C047AD307DAF5F4440,5 De Mayo Food Market Corp.,-73.884499,40.747543,8106 Roosevelt Ave,,Jackson Heights,NY,11372,,QUEENS ,1,384615.384615385
8084,0101000020E610000002F1BA7EC17952C077871403246E4440,Ceesay African Market,-73.902435,40.860474,6 E 184th St,,Bronx,NY,10468,6404,BRONX ,1,384615.384615385
8085,0101000020E6100000E43098BF427C52C0C5C72764E7554440,Kingston Pharmacy,-73.941574,40.671124,1106 St Johns Place,,Brooklyn,NY,11213,,KINGS ,1,384615.384615385
8089,0101000020E6100000A6B915C26A7A52C05AA0DD21C5604440,48 Bodega Inc,-73.912766,40.756016,4720A Broadway,,Astoria,NY,11103,1630,QUEENS ,1,384615.384615385
8090,0101000020E61000006E1805C1E37A52C0E0D91EBDE1564440,Long Life Unity Food Co-op 1,-73.920151,40.678764,1958 Fulton St,,Brooklyn,NY,11233,3104,KINGS ,1,384615.384615385
8092,0101000020E6100000782AE09EE77D52C066BE839F38564440,Saba Gourmet Deli Grocery,-73.967262,40.673603,232 Underhill Ave,,Brooklyn,NY,11238,5302,KINGS ,1,384615.384615385
8094,0101000020E6100000EB8D5A61FA7A52C082C98D226B6B4440,LCS Deli Grocery Store,-73.921532,40.839207,1307 Edward L Grant hwy,,bronx,NY,10452,3145,BRONX ,1,384615.384615385
8095,0101000020E6100000E65DF580797A52C06E30D46185694440,Just Ideas,-73.913666,40.824383,896 Melrose Ave,,bronx,NY,10451,4156,BRONX ,1,384615.384615385
8096,0101000020E6100000272F3201BF7652C038D73043E3594440,Victory Deli,-73.855408,40.702248,8334 Woodhaven Blvd,,Glendale,NY,11385,7824,QUEENS ,1,384615.384615385
8097,0101000020E6100000575EF23FF97E52C0F37519FED3494440,Mermaid Prime Meat Corp,-73.983963,40.576782,1621 Mermaid Ave,,Brooklyn,NY,11224,2619,KINGS ,1,384615.384615385
8098,0101000020E61000001CCF6740BD7B52C018963FDF16584440,829 Gates Food Corp,-73.933426,40.688198,829 Gates Ave,,Brooklyn,NY,11221,1712,KINGS ,1,384615.384615385
